0,-0.736961
0.015625,-0.721214
0.03125,-0.705223
0.046875,-0.688989
0.0625,-0.672511
0.078125,-0.655791
0.09375,-0.63883
0.109375,-0.621628
0.125,-0.604186
0.140625,-0.586507
0.15625,-0.568592
0.171875,-0.550443
0.1875,-0.532063
0.203125,-0.513454
0.21875,-0.494618
0.234375,-0.475559
0.25,-0.456281
0.265625,-0.436786
0.28125,-0.41708
0.296875,-0.397165
0.3125,-0.377047
0.328125,-0.356731
0.34375,-0.336221
0.359375,-0.315524
0.375,-0.294644
0.390625,-0.273589
0.40625,-0.252364
0.421875,-0.230977
0.4375,-0.209434
0.453125,-0.187744
0.46875,-0.165913
0.484375,-0.14395
0.5,-0.121865
0.515625,-0.099664
0.53125,-0.0773581
0.546875,-0.0549563
0.5625,-0.0324686
0.578125,-0.00990508
0.59375,0.0127237
0.609375,0.0354068
0.625,0.0581332
0.640625,0.0808913
0.65625,0.103669
0.671875,0.126455
0.6875,0.149236
0.703125,0.172
0.71875,0.194734
0.734375,0.217424
0.75,0.240058
0.765625,0.26262
0.78125,0.285098
0.796875,0.307477
0.8125,0.329743
0.828125,0.351881
0.84375,0.373877
0.859375,0.395715
0.875,0.417381
0.890625,0.438858
0.90625,0.460133
0.921875,0.48119
0.9375,0.502012
0.953125,0.522586
0.96875,0.542894
0.984375,0.562922
1,0.582655
